# This is a list of Dutch ministery governmental websites.
# Source for this file is https://github.com/openstate/datasets/blob/master/government_domain_names/Rijksoverheid.csv
# ar = Algemene Rekenkamer
# az = Algemene Zaken
# buza = Buitenlandse Zaken
# bzk = Binnenlandse Zaken en Koninkrijksrelaties
# caop = Centrum voor Arbeidsverhoudingen Overheidspersoneel
# def = Defensie
# ek = 
# ezk = Economische Zaken en Klimaat
# fin = Financiën
# ienw = Infrastructuur en Waterstaat
# jenv = Justitie en Veiligheid
# lnv = Landbouw, Natuur en Voedselkwaliteit
# no
# ocw = Onderwijs, Cultuur en Wetenschap
# rvs = Raad voor Volksgezondheid en Samenleving
# szw = Sociale Zaken en Werkgelegenheid
# tk
# vws = Volksgezondheid, Welzijn en Sport
ontwerpenaanklimaatenwater.nl,bzk
opendata-award.nl,bzk
open-overheid.nl,bzk
operatiebrp.nl,bzk
oteam.nl,bzk
overheid.nl,bzk
overheidvandetoekomst.nl,bzk
overheidvannu.nl,bzk
p-direkt.nl,bzk
pdok.nl,bzk
placesofhope.nl,bzk
planmonitorwonen.nl,bzk
pleinbzk.nl,bzk
pmkapp.nl,bzk
prettigcontactmetdeoverheid.nl,bzk
prodemos.nl,bzk
programmamenscentraal.nl,bzk
programmasociaaldomein.nl,bzk
raadopenbaarbestuur.nl,bzk
rabarijk.nl,bzk
referentiegrootboekschema.nl,bzk
regioatlas.nl,bzk
regioburgemeesters.nl,bzk
rgd-inspecties.nl,bzk
rijksafspraakplanner.nl,bzk
rijksbrededienstverleners.nl,bzk
rijksdienstcn.com,bzk
rijksictdashboard.nl,bzk
rijksinnovatiecommunity.nl,bzk
rijksnormering.nl,bzk
rijksoverheidsevents.nl,bzk
rijksservices.nl,bzk
rijkstalentencentrum.nl,bzk
rijksvastgoedbedrijf.nl,bzk
rinis.nl,bzk
ruimtelijkeplannen.nl,bzk
rvbmarktmiddag.nl,bzk
rvig.nl,bzk
saip.nl,bzk
sbr-nl.nl,bzk
sciorijk.nl,bzk
ssc-ict-innovatie.nl,bzk
ssc-ict.nl,bzk
ssc-ictspecials.nl,bzk
staatscommissieparlementairstelsel.nl,bzk
statiagovernment.com,bzk
stelselcatalogus.nl,bzk
tlokb.nl,bzk
toegankelijkheidsverklaring.nl,bzk
toolboxinclusief.nl,bzk
toolkitomgevingswet.nl,bzk
ubrijk.nl,bzk
vastgoedvanhetrijk.nl,bzk
veiligepubliekedienstverlening.nl,bzk
verbeterdekaart.nl,bzk
verbeter-direkt.nl,bzk
verbeterjehuis.nl,bzk
verkiezingsuitslagen.nl,bzk
visitaties.nl,bzk
vraagbaakiv3gemeenten.nl,bzk
vraagbaakiv3provincies.nl,bzk
weerbaar-bestuur.nl,bzk
weerbaarbestuur.nl,bzk
weerbaredigitaleoverheid.nl,bzk
werkenbijdeoverheid.nl,bzk
werkenbijhetkadaster.nl,bzk
werkenvoornederland.nl,bzk
woningmarktbeleid.nl,bzk
woononderzoek.nl,bzk
wozwaardeloket.nl,bzk
zeteenstreepdoordiscriminatie.nl,bzk
caop.nl,caop
